Iteration,Global_Best_Fitness
1,1.998498089
2,1.998498089
3,1.998498089
4,1.998498089
5,1.998498089
6,1.998498089
7,1.998498089
8,1.998498089
9,1.998498089
10,1.998498089
11,1.998498089
12,1.998514129
13,1.998514129
14,1.998514129
15,1.998514129
16,1.998514129
17,1.998514129
18,1.999942397
19,1.999942397
20,1.999942397
21,1.999942397
22,1.999942397
23,1.999942397
24,1.999942397
25,1.999942397
26,1.999942397
27,1.999942397
28,1.999942397
29,1.999942397
30,1.999966103
31,1.999966103
32,1.999966103
33,1.999966103
34,1.999966103
35,1.999966103
36,1.999966103
37,1.999977556
38,1.999977556
39,1.999977556
40,1.999977556
41,1.999977556
42,1.999977556
43,1.999977556
44,1.999993253
45,1.999993253
46,1.999993253
47,1.999993253
48,1.999993253
49,1.999993253
50,1.999993253
51,1.999993253
52,1.999993253
53,1.999993253
54,1.999993253
55,1.999993253
56,1.999993253
57,1.999999951
58,1.999999951
59,1.999999951
60,1.999999951
61,1.999999951
62,1.999999951
63,1.999999951
64,1.999999951
65,1.999999951
66,1.999999951
67,1.999999951
68,1.999999954
69,1.999999954
70,1.999999954
71,1.999999954
72,1.999999963
73,1.999999963
74,1.999999963
75,1.999999963
76,1.999999968
77,1.999999987
78,1.999999987
79,1.999999999
80,1.999999999
81,1.999999999
82,1.999999999
83,1.999999999
84,1.999999999
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
