Iteration,Global_Best_Fitness
1,1.992247801
2,1.992247801
3,1.999112705
4,1.999112705
5,1.999112705
6,1.999112705
7,1.999604018
8,1.999604018
9,1.999604018
10,1.999604018
11,1.999619619
12,1.999619619
13,1.999619619
14,1.999700194
15,1.999700194
16,1.999700194
17,1.999700194
18,1.999700194
19,1.999700194
20,1.999819290
21,1.999868235
22,1.999868235
23,1.999868235
24,1.999868235
25,1.999868235
26,1.999868235
27,1.999868235
28,1.999868235
29,1.999948053
30,1.999948053
31,1.999949849
32,1.999949849
33,1.999949849
34,1.999949849
35,1.999993913
36,1.999993913
37,1.999993913
38,1.999997170
39,1.999997170
40,1.999998308
41,1.999998308
42,1.999999940
43,1.999999940
44,1.999999940
45,1.999999940
46,1.999999940
47,1.999999940
48,1.999999940
49,1.999999940
50,1.999999940
51,1.999999940
52,1.999999940
53,1.999999970
54,1.999999970
55,1.999999970
56,1.999999998
57,1.999999998
58,1.999999998
59,1.999999998
60,1.999999998
61,1.999999998
62,1.999999998
63,1.999999998
64,2.000000000
65,2.000000000
66,2.000000000
67,2.000000000
68,2.000000000
69,2.000000000
70,2.000000000
71,2.000000000
72,2.000000000
73,2.000000000
74,2.000000000
75,2.000000000
76,2.000000000
77,2.000000000
78,2.000000000
79,2.000000000
80,2.000000000
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
