Iteration,Global_Best_Fitness
1,1.996522057
2,1.996522057
3,1.996522057
4,1.996522057
5,1.996522057
6,1.998560337
7,1.998560337
8,1.998560337
9,1.998560337
10,1.998560337
11,1.998560337
12,1.998560337
13,1.998560337
14,1.998560337
15,1.998560337
16,1.999892187
17,1.999892187
18,1.999892187
19,1.999892187
20,1.999892187
21,1.999892187
22,1.999892187
23,1.999892187
24,1.999900605
25,1.999900605
26,1.999900605
27,1.999900605
28,1.999900605
29,1.999900605
30,1.999900605
31,1.999900605
32,1.999900605
33,1.999990174
34,1.999990174
35,1.999990174
36,1.999990174
37,1.999990174
38,1.999990174
39,1.999990174
40,1.999990174
41,1.999990174
42,1.999990174
43,1.999990174
44,1.999990174
45,1.999990174
46,1.999990174
47,1.999990174
48,1.999990174
49,1.999990174
50,1.999990174
51,1.999990174
52,1.999990174
53,1.999990174
54,1.999990174
55,1.999990174
56,1.999990174
57,1.999990174
58,1.999998469
59,1.999998469
60,1.999998469
61,1.999998469
62,1.999998469
63,1.999999814
64,1.999999814
65,1.999999814
66,1.999999814
67,1.999999814
68,1.999999814
69,1.999999814
70,1.999999814
71,1.999999867
72,1.999999922
73,1.999999922
74,1.999999922
75,1.999999922
76,1.999999965
77,1.999999965
78,1.999999965
79,1.999999965
80,1.999999965
81,1.999999994
82,1.999999994
83,1.999999999
84,1.999999999
85,1.999999999
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
